al_#,PON ID
16.576,PON.N37
16.745,PON.827
16.745,PON.N35
16.745,PON.N36
19.703,PON.11IA
19.703,PON.N35
19.703,PON.N36
97.032,PON.49
97.032,PON.896
10.450,PON.7F
10.329,PON.N22
10.329,PON.N23
15.556,PON.208
15.556,PON.5C
15.556,PON.T55
15.224,PON.T97
19.036,PON.N36
19.036,PON.T97
15.159,PON.41
15.159,PON.T19
15.159,PON.T97
15.511,PON.T19
15.511,PON.T97
15.946,PON.T18
19.015,PON.N63
16.016,PON.202
19.035,PON.N45
12.905,PON.195
12.905,PON.N21
97.127,PON.57
97.127,PON.3P
59.079,PON.868
59.079,PON.N44
32.012,PON.103
32.012,PON.N44
11.046,PON.N19
97.155,PON.826
97.155,PON.N16
97.155,PON.N44
81.008,PON.103
81.008,PON.N52
19.665,PON.N45
19.665,PON.N66
19.665,PON.T72
97.076,PON.157
97.076,PON.159
97.076,PON.N40
10.176,PON.2A
10.176,PON.N22
10.053,PON.N23
10.127,PON.75
10.127,PON.N23
84.370,PON.144
84.370,PON.914
87.005,PON.866
87.005,PON.N66
19.303,PON.103
19.303,PON.N58
TC.162,PON.T91
TC.112,PON.T91
TC.137,PON.T91
TC.125,PON.T91
TC.133,PON.872
TC.133,PON.T91
TC.062,PON.833
TC.062,PON.T91
TC.173,PON.T91
TC.063,PON.833
TC.063,PON.T91
TC.105,PON.T91
TC.047,PON.866
TC.047,PON.N26
TC.005,PON.866
TC.005,PON.T72
12.027,PON.N50
81.113,PON.1ND
12.777,PON.N50
12.024,PON.1ND
12.024,PON.5ND
TC.080,PON.T91
TC.053,PON.1F
TC.064,PON.835
TC.174,PON.T91
TC.089,PON.5T
16.548,PON.856
10.874,PON.876
90.200,PON.117
90.200,PON.11B
14.866,PON.833
14.866,PON.834
14.866,PON.835
93.327,PON.629
93.327,PON.N37
93.327,PON.N40
16.058,PON.17P
16.058,PON.N37
93.933,PON.871
93.933,PON.15L
10.858,PON.9E
90.003,PON.10C
90.003,PON.1C
90.003,PON.9C
90.100,PON.10C
90.100,PON.1C
90.100,PON.9C
98.010,PON.3IA
12.116,PON.N29
12.350,PON.3IA
12.558,PON.96
15.088,PON.49
12.632,PON.N27
12.632,PON.N29
12.632,PON.N50
12.033,PON.622
12.033,PON.15L
12.033,PON.5ND
TC.081,PON.833
93.223,PON.131
93.630,PON.11
93.630,PON.179
93.631,PON.11
93.631,PON.179
95.003,PON.82
95.003,PON.129
95.003,PON.131
93.847,PON.103
93.847,PON.15L
93.847,PON.T125
93.KRR,PON.15L
93.KRR,PON.103
93.KRC,PON.15L
93.KRC,PON.103
93.KRC,PON.T88
93.KRP,PON.15L
93.KRP,PON.103
93.KRP,PON.T89
93.KSB,PON.36
93.KSB,PON.15L
93.KSB,PON.868
93.KT1,PON.15L
93.KT1,PON.16L
93.KT1,PON.T88
93.KTR,PON.102
93.KTR,PON.N74
93.KTS,PON.102
93.KTS,PON.N74
66.039,PON.1J
66.040,PON.1J
93.321,PON.103
93.321,PON.15L
93.321,PON.T125
11.036,PON.104
10.444,PON.59
10.444,PON.49
66.473,PON.8Q
84.417,PON.144
93.184,PON.122
93.184,PON.125
17.720,PON.76
17.720,PON.82
17.720,PON.131
84.421,PON.3
84.421,PON.122
93.923,PON.N74
59.008,PON.49
97.088,PON.49
TC.102,PON.59
TC.102,PON.866
97.036,PON.49
97.033,PON.10
97.033,PON.59
97.034,PON.59
97.034,PON.861
11.069,PON.8C
11.069,PON.2S
11.069,PON.50
TC.072,PON.833
TC.072,PON.T91
